Format,Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,1.1,7181
1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,1.2,7181
1,21,Brian Thomas Jr.,JAC,WR,22.1,5,-5,7181,1.3,7181
1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,Baseline,7095
1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.1,7095
1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.2,7095
1,22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.3,7095
1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,Baseline,7069
1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,1.1,7069
1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,1.2,7069
1,23,2025 Early 1st,FA,PICK,N/A,5,-3,7069,1.3,7069
1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,Baseline,6942
1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,1.1,6942
1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,1.2,6942
1,24,Kenneth Walker III,SEA,RB,24.1,5,-2,6942,1.3,6942
1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,Baseline,6672
1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,1.1,6672
1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,1.2,6672
1,25,Jonathan Taylor,IND,RB,25.8,6,0,6672,1.3,6672
1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,Baseline,6616
1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,1.1,6616
1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,1.2,6616
1,26,Christian McCaffrey,SFO,RB,28.4,6,14,6616,1.3,6616
1,27,Trey McBride,ARI,TE,25.0,6,2,6588,Baseline,6588
1,27,Trey McBride,ARI,TE,25.0,6,2,6588,1.1,7331
1,27,Trey McBride,ARI,TE,25.0,6,2,6588,1.2,8023
1,27,Trey McBride,ARI,TE,25.0,6,2,6588,1.3,8715
1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,Baseline,6444
1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.1,6444
1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.2,6444
1,28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.3,6444
1,29,George Pickens,PIT,WR,23.7,7,42,6411,Baseline,6411
1,29,George Pickens,PIT,WR,23.7,7,42,6411,1.1,6411
1,29,George Pickens,PIT,WR,23.7,7,42,6411,1.2,6411
1,29,George Pickens,PIT,WR,23.7,7,42,6411,1.3,6411
1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,Baseline,6299
1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.1,6299
1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.2,6299
1,30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.3,6299
1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,Baseline,6286
1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,1.1,6286
1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,1.2,6286
1,31,Jaxon Smith-Njigba,SEA,WR,22.8,8,15,6286,1.3,6286
1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,Baseline,6278
1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.1,6278
1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.2,6278
1,32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.3,6278
1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,Baseline,6230
1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,1.1,6230
1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,1.2,6230
1,33,Zay Flowers,BAL,WR,24.2,8,3,6230,1.3,6230
1,34,James Cook,BUF,RB,25.2,8,0,6220,Baseline,6220
1,34,James Cook,BUF,RB,25.2,8,0,6220,1.1,6220
1,34,James Cook,BUF,RB,25.2,8,0,6220,1.2,6220
1,34,James Cook,BUF,RB,25.2,8,0,6220,1.3,6220
1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,Baseline,6186
1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.1,6186
1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.2,6186
1,35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.3,6186
1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,Baseline,6167
1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.1,6167
1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.2,6167
1,36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.3,6167
1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,Baseline,6149
1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.1,6149
1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.2,6149
1,37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.3,6149
1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,Baseline,6112
1,38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.1,6112
