Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.1,7095
22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.2,7095
22,Kyren Williams,LAR,RB,24.2,5,1,7095,1.3,7095
23,2025 Early 1st,FA,PICK,N/A,5,-3,7066,Baseline,7066
23,2025 Early 1st,FA,PICK,N/A,5,-3,7066,1.1,7066
23,2025 Early 1st,FA,PICK,N/A,5,-3,7066,1.2,7066
23,2025 Early 1st,FA,PICK,N/A,5,-3,7066,1.3,7066
24,Kenneth Walker III,SEA,RB,24.1,5,-2,6950,Baseline,6950
24,Kenneth Walker III,SEA,RB,24.1,5,-2,6950,1.1,6950
24,Kenneth Walker III,SEA,RB,24.1,5,-2,6950,1.2,6950
24,Kenneth Walker III,SEA,RB,24.1,5,-2,6950,1.3,6950
25,Jonathan Taylor,IND,RB,25.8,6,0,6667,Baseline,6667
25,Jonathan Taylor,IND,RB,25.8,6,0,6667,1.1,6667
25,Jonathan Taylor,IND,RB,25.8,6,0,6667,1.2,6667
25,Jonathan Taylor,IND,RB,25.8,6,0,6667,1.3,6667
26,Christian McCaffrey,SFO,RB,28.4,6,14,6617,Baseline,6617
26,Christian McCaffrey,SFO,RB,28.4,6,14,6617,1.1,6617
26,Christian McCaffrey,SFO,RB,28.4,6,14,6617,1.2,6617
26,Christian McCaffrey,SFO,RB,28.4,6,14,6617,1.3,6617
27,Trey McBride,ARI,TE,25.0,6,2,6588,Baseline,6588
27,Trey McBride,ARI,TE,25.0,6,2,6588,1.1,7331
27,Trey McBride,ARI,TE,25.0,6,2,6588,1.2,8023
27,Trey McBride,ARI,TE,25.0,6,2,6588,1.3,8715
28,Jalen Hurts,PHI,QB,26.3,7,14,6444,Baseline,6444
28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.1,6444
28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.2,6444
28,Jalen Hurts,PHI,QB,26.3,7,14,6444,1.3,6444
29,George Pickens,PIT,WR,23.7,7,42,6412,Baseline,6412
29,George Pickens,PIT,WR,23.7,7,42,6412,1.1,6412
29,George Pickens,PIT,WR,23.7,7,42,6412,1.2,6412
29,George Pickens,PIT,WR,23.7,7,42,6412,1.3,6412
