Rank,Name,Team,Position,Age,Tier,Trend,Base Value,TEP Level,Adjusted Value
29,George Pickens,PIT,WR,23.7,7,42,6411,1.3,6411
30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.1,6299
30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.2,6299
30,DK Metcalf,SEA,WR,26.9,8,-2,6299,1.3,6299
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,17,6289,1.1,6289
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,17,6289,1.2,6289
31,Jaxon Smith-Njigba,SEA,WR,22.8,8,17,6289,1.3,6289
32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.1,6278
32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.2,6278
32,2026 Early 1st,FA,PICK,N/A,8,1,6278,1.3,6278
33,Zay Flowers,BAL,WR,24.2,8,3,6227,1.1,6227
33,Zay Flowers,BAL,WR,24.2,8,3,6227,1.2,6227
33,Zay Flowers,BAL,WR,24.2,8,3,6227,1.3,6227
34,James Cook,BUF,RB,25.2,8,0,6220,1.1,6220
34,James Cook,BUF,RB,25.2,8,0,6220,1.2,6220
34,James Cook,BUF,RB,25.2,8,0,6220,1.3,6220
35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.1,6186
35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.2,6186
35,Rashee Rice,KCC,WR,24.6,8,-4,6186,1.3,6186
36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.1,6167
36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.2,6167
36,Derrick Henry,BAL,RB,30.9,8,9,6167,1.3,6167
37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.1,6149
37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.2,6149
37,DeVonta Smith,PHI,WR,26.0,8,-7,6149,1.3,6149
38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.1,6112
38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.2,6112
38,Jayden Reed,GBP,WR,24.6,8,-14,6112,1.3,6112
39,2025 Mid 1st,FA,PICK,N/A,8,-1,6109,1.1,6109
39,2025 Mid 1st,FA,PICK,N/A,8,-1,6109,1.2,6109
39,2025 Mid 1st,FA,PICK,N/A,8,-1,6109,1.3,6109
40,Joe Burrow,CIN,QB,27.9,8,13,6096,1.1,6096
40,Joe Burrow,CIN,QB,27.9,8,13,6096,1.2,6096
40,Joe Burrow,CIN,QB,27.9,8,13,6096,1.3,6096
41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.1,5994
41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.2,5994
41,Rome Odunze,CHI,WR,22.5,9,-6,5994,1.3,5994
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.1,5986
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.2,5986
42,C.J. Stroud,HOU,QB,23.1,9,-15,5986,1.3,5986
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.1,6685
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.2,7325
43,Sam LaPorta,DET,TE,23.8,9,-11,5983,1.3,7965
44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.1,5926
44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.2,5926
44,Ladd McConkey,LAC,WR,23.0,9,22,5926,1.3,5926
45,Tee Higgins,CIN,WR,25.8,10,-6,5828,1.1,5828
45,Tee Higgins,CIN,WR,25.8,10,-6,5828,1.2,5828
45,Tee Higgins,CIN,WR,25.8,10,-6,5828,1.3,5828
46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.1,5795
46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.2,5795
46,2027 Early 1st,FA,PICK,N/A,10,3,5795,1.3,5795
47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.1,5739
47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.2,5739
47,Joe Mixon,HOU,RB,28.3,10,28,5739,1.3,5739
48,Jordan Love,GBP,QB,26.0,10,2,5668,1.1,5668
48,Jordan Love,GBP,QB,26.0,10,2,5668,1.2,5668
48,Jordan Love,GBP,QB,26.0,10,2,5668,1.3,5668
49,Isiah Pacheco,KCC,RB,25.7,10,10,5664,1.1,5664
49,Isiah Pacheco,KCC,RB,25.7,10,10,5664,1.2,5664
49,Isiah Pacheco,KCC,RB,25.7,10,10,5664,1.3,5664
50,Tyreek Hill,MIA,WR,30.7,10,-8,5659,1.1,5659
50,Tyreek Hill,MIA,WR,30.7,10,-8,5659,1.2,5659
50,Tyreek Hill,MIA,WR,30.7,10,-8,5659,1.3,5659
